   117
    300.0   0.06919   0.14825
    305.0   0.06346   0.09575
    310.0   0.06600   0.06949
    315.0   0.06767   0.05243
    320.0   0.07086   0.04087
    325.0   0.07596   0.03246
    330.0   0.07914   0.02566
    335.0   0.08306   0.02062
    340.0   0.08748   0.01702
    345.0   0.09198   0.01383
    350.0   0.09746   0.01171
    355.0   0.10334   0.00959
    360.0   0.10981   0.00815
    365.0   0.11631   0.00686
    370.0   0.12368   0.00580
    375.0   0.13029   0.00517
    380.0   0.13621   0.00489
    385.0   0.14229   0.00484
    390.0   0.14700   0.00525
    395.0   0.15158   0.00630
    400.0   0.15627   0.00315
    405.0   0.16046   0.00287
    410.0   0.16451   0.00259
    415.0   0.16662   0.00249
    420.0   0.16956   0.00234
    425.0   0.17157   0.00234
    430.0   0.17297   0.00217
    435.0   0.17532   0.00223
    440.0   0.17721   0.00219
    445.0   0.17981   0.00205
    450.0   0.18096   0.00217
    455.0   0.18204   0.00228
    460.0   0.18329   0.00225
    465.0   0.18358   0.00220
    470.0   0.18471   0.00211
    475.0   0.18502   0.00209
    480.0   0.18639   0.00220
    485.0   0.18732   0.00218
    490.0   0.18763   0.00216
    495.0   0.18976   0.00224
    500.0   0.18927   0.00236
    505.0   0.18931   0.00235
    510.0   0.18969   0.00228
    515.0   0.19304   0.00234
    520.0   0.19552   0.00226
    525.0   0.19694   0.00228
    530.0   0.19805   0.00224
    535.0   0.19846   0.00233
    540.0   0.19885   0.00227
    545.0   0.19871   0.00220
    550.0   0.19969   0.00218
    555.0   0.20040   0.00225
    560.0   0.20134   0.00227
    565.0   0.20270   0.00223
    570.0   0.20243   0.00232
    575.0   0.20350   0.00228
    580.0   0.20329   0.00219
    585.0   0.20439   0.00229
    590.0   0.20428   0.00231
    595.0   0.20538   0.00240
    600.0   0.20472   0.00229
    605.0   0.20532   0.00223
    610.0   0.20573   0.00231
    615.0   0.20564   0.00227
    620.0   0.20636   0.00244
    625.0   0.20625   0.00236
    630.0   0.20706   0.00235
    635.0   0.20719   0.00224
    640.0   0.20770   0.00235
    645.0   0.20814   0.00236
    650.0   0.20859   0.00235
    655.0   0.20950   0.00255
    660.0   0.20952   0.00250
    665.0   0.21114   0.00246
    670.0   0.21165   0.00235
    675.0   0.21254   0.00234
    680.0   0.21334   0.00253
    685.0   0.21402   0.00249
    690.0   0.21470   0.00245
    695.0   0.21538   0.00245
    700.0   0.21617   0.00244
    705.0   0.21675   0.00245
    710.0   0.21752   0.00247
    715.0   0.21787   0.00254
    720.0   0.21825   0.00258
    725.0   0.21864   0.00247
    730.0   0.21896   0.00246
    735.0   0.21942   0.00247
    740.0   0.21984   0.00238
    745.0   0.22024   0.00265
    750.0   0.22043   0.00251
    755.0   0.22054   0.00247
    760.0   0.22049   0.00248
    765.0   0.22039   0.00261
    770.0   0.22029   0.00265
    775.0   0.21980   0.00267
    780.0   0.21933   0.00253
    785.0   0.21854   0.00249
    790.0   0.21755   0.00260
    795.0   0.21648   0.00262
    800.0   0.21515   0.00269
    805.0   0.21342   0.00267
    810.0   0.21160   0.00271
    815.0   0.20948   0.00273
    820.0   0.20698   0.00275
    825.0   0.20431   0.00274
    830.0   0.20154   0.00277
    835.0   0.19835   0.00275
    840.0   0.19512   0.00271
    845.0   0.19188   0.00275
    850.0   0.18851   0.00271
    855.0   0.18494   0.00271
    860.0   0.18140   0.00267
    865.0   0.17772   0.00271
    870.0   0.17389   0.00278
    875.0   0.17016   0.00292
    880.0   0.16670   0.00311



 C1LM29      .ASC                        

 LM-TXH-029                                                              
 Y-981651,66 Glassy basalt <125 um                                       
 * User: TXH                                                             
 * Research Type: Cosmochemistry, Mission Planning, SELENE, Lunar Meteori
 * NASA PI/CoI or Sponsor: CMP                                           
 * BVC: Brown Planetary Geosciences                                      
 * Public Release Date: 06/20/2006                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 3.5 mm                                                 
 * Scrambler: Out                                                        
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 23-JUN-03   Time: 10:18:05
