   117
    300.0   0.03395   0.15009
    305.0   0.03376   0.09872
    310.0   0.03422   0.07051
    315.0   0.03399   0.05252
    320.0   0.03509   0.04034
    325.0   0.03652   0.03216
    330.0   0.03754   0.02620
    335.0   0.03889   0.02150
    340.0   0.04023   0.01756
    345.0   0.04142   0.01427
    350.0   0.04234   0.01169
    355.0   0.04332   0.00970
    360.0   0.04425   0.00805
    365.0   0.04516   0.00668
    370.0   0.04615   0.00582
    375.0   0.04713   0.00508
    380.0   0.04812   0.00464
    385.0   0.04915   0.00448
    390.0   0.05016   0.00491
    395.0   0.05113   0.00613
    400.0   0.05210   0.00280
    405.0   0.05313   0.00215
    410.0   0.05384   0.00178
    415.0   0.05471   0.00150
    420.0   0.05544   0.00131
    425.0   0.05613   0.00116
    430.0   0.05695   0.00112
    435.0   0.05777   0.00104
    440.0   0.05859   0.00103
    445.0   0.05924   0.00109
    450.0   0.05968   0.00104
    455.0   0.06032   0.00096
    460.0   0.06065   0.00093
    465.0   0.06093   0.00096
    470.0   0.06108   0.00098
    475.0   0.06156   0.00091
    480.0   0.06166   0.00090
    485.0   0.06227   0.00094
    490.0   0.06255   0.00096
    495.0   0.06316   0.00093
    500.0   0.06366   0.00094
    505.0   0.06408   0.00086
    510.0   0.06471   0.00091
    515.0   0.06520   0.00099
    520.0   0.06582   0.00100
    525.0   0.06633   0.00085
    530.0   0.06694   0.00085
    535.0   0.06732   0.00098
    540.0   0.06790   0.00101
    545.0   0.06838   0.00096
    550.0   0.06881   0.00095
    555.0   0.06908   0.00094
    560.0   0.06944   0.00096
    565.0   0.06945   0.00090
    570.0   0.06973   0.00089
    575.0   0.06967   0.00103
    580.0   0.06985   0.00103
    585.0   0.07004   0.00102
    590.0   0.07018   0.00103
    595.0   0.07036   0.00102
    600.0   0.07049   0.00104
    605.0   0.07060   0.00099
    610.0   0.07088   0.00097
    615.0   0.07114   0.00092
    620.0   0.07140   0.00090
    625.0   0.07169   0.00100
    630.0   0.07190   0.00104
    635.0   0.07190   0.00120
    640.0   0.07208   0.00118
    645.0   0.07194   0.00111
    650.0   0.07198   0.00113
    655.0   0.07215   0.00125
    660.0   0.07221   0.00122
    665.0   0.07215   0.00103
    670.0   0.07223   0.00100
    675.0   0.07250   0.00133
    680.0   0.07254   0.00131
    685.0   0.07257   0.00112
    690.0   0.07259   0.00114
    695.0   0.07259   0.00119
    700.0   0.07259   0.00114
    705.0   0.07279   0.00126
    710.0   0.07282   0.00127
    715.0   0.07276   0.00111
    720.0   0.07281   0.00112
    725.0   0.07321   0.00118
    730.0   0.07328   0.00113
    735.0   0.07347   0.00104
    740.0   0.07351   0.00107
    745.0   0.07334   0.00117
    750.0   0.07331   0.00121
    755.0   0.07351   0.00110
    760.0   0.07345   0.00111
    765.0   0.07361   0.00118
    770.0   0.07360   0.00116
    775.0   0.07358   0.00118
    780.0   0.07356   0.00121
    785.0   0.07370   0.00127
    790.0   0.07364   0.00131
    795.0   0.07355   0.00133
    800.0   0.07378   0.00137
    805.0   0.07359   0.00138
    810.0   0.07350   0.00139
    815.0   0.07350   0.00135
    820.0   0.07350   0.00137
    825.0   0.07353   0.00144
    830.0   0.07353   0.00145
    835.0   0.07355   0.00151
    840.0   0.07352   0.00150
    845.0   0.07346   0.00153
    850.0   0.07347   0.00158
    855.0   0.07344   0.00157
    860.0   0.07346   0.00155
    865.0   0.07337   0.00166
    870.0   0.07334   0.00179
    875.0   0.07339   0.00206
    880.0   0.07331   0.00258



 C1MP108     .ASC                        

 MP-TXH-108                                                              
 Y-86009,85 CV3 <125 um                                                  
 * User: TXH                                                             
 * Research Type: Cosmochemistry, Asteroid-Meteorite,                    
 * NASA PI/CoI or Sponsor: CMP                                           
 * BVC: Brown Planetary Geosciences                                      
 * Public Release Date: 06/20/2006                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 3.5 mm                                                 
 * Scrambler: Out                                                        
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 20-JUN-03   Time: 18:43:33
