        54
    350.00   .069589   .119381
    360.00   .072315   .035535
    370.00   .073724   .017719
    380.00   .074819   .009329
    390.00   .075417   .004677
    400.00   .075992   .002886
    410.00   .076860   .001886
    420.00   .077526   .001374
    430.00   .077823   .001142
    440.00   .078219   .001070
    450.00   .078495   .000918
    460.00   .078787   .000856
    470.00   .078706   .000766
    480.00   .079232   .000681
    490.00   .079321   .000619
    500.00   .079528   .000616
    510.00   .079638   .000621
    520.00   .079839   .000592
    530.00   .079801   .000586
    540.00   .080050   .000577
    550.00   .079657   .000586
    560.00   .079818   .000551
    570.00   .079730   .000559
    580.00   .079805   .000515
    590.00   .079668   .000635
    600.00   .079722   .000653
    610.00   .079864   .000690
    620.00   .079863   .000663
    630.00   .080158   .000711
    640.00   .080111   .000717
    650.00   .080023   .000757
    660.00   .080140   .000783
    670.00   .079885   .000822
    680.00   .079860   .000844
    690.00   .079917   .000826
    700.00   .079931   .000864
    710.00   .079722   .001006
    720.00   .079711   .001087
    730.00   .079795   .001117
    740.00   .079480   .001146
    750.00   .079285   .001370
    760.00   .079468   .001502
    770.00   .079423   .001640
    780.00   .079258   .001854
    790.00   .078752   .002033
    800.00   .078619   .002238
    810.00   .078422   .002478
    820.00   .077905   .002684
    830.00   .078099   .002801
    840.00   .077940   .002942
    850.00   .077116   .002746
    860.00   .076857   .002756
    870.00   .077018   .002884
    880.00   .076530   .003194



 C2MB64K4.ASC            

 MB-TXH-064-K4
 * User: TXH
 * Research Type: Active Missions, PDART, Hayabusa2
 * NASA PI/CoI or Sponsor: TXH
 * BVC: Brown Planetary GeoSciences
 * Public Release Date: 04/26/2021
 * End Time: 15:32:43  26/Apr/2018
 * Total Accounted Time: 00:32:44
 * Run Mode: All Samples at Each Wavelength
 * Stage Type: Automatic
 * Spinning: Yes
 * Azimuth Angle: 0.0
 * Aperture Size: 3.5
 * Scrambler: In
 * Depolarizer: In
 * Minimum Initial Dwell Time: 4.5
 * Maximum Extended Dwell Time: 30.0
 * Initial Background at Home: 9.171743e-004
 * Standard Deviation of Background at Home: 1.688356e-004
 * Initial Signal at Home: 6.816043e-001
 * Standard Deviation of Signal at Home: 1.430241e-003
 * Detector: PMT (-1050 V)  Lamp: Halogen  Grating: 2  Resolution: 1.60 nm  Filter: 1
 
 Source Ang:  30.00, Detect Ang:    .00, Volt:  .777
 Date: 26-APR-18, Time: 13:15:19
 
 RATIOS ADJUSTED USING RELAB SPECTRALON CALIBRATION TABLE
