    57
    320.0   0.15704   0.06734
    330.0   0.17167   0.04146
    340.0   0.19179   0.02769
    350.0   0.21498   0.01969
    360.0   0.24025   0.01396
    370.0   0.26478   0.01023
    380.0   0.28290   0.00846
    390.0   0.29669   0.00902
    400.0   0.30204   0.00578
    410.0   0.31411   0.00464
    420.0   0.32106   0.00411
    430.0   0.32540   0.00414
    440.0   0.32944   0.00380
    450.0   0.32896   0.00402
    460.0   0.33350   0.00402
    470.0   0.33790   0.00392
    480.0   0.34500   0.00401
    490.0   0.34656   0.00416
    500.0   0.35022   0.00426
    510.0   0.35565   0.00450
    520.0   0.35910   0.00422
    530.0   0.36146   0.00448
    540.0   0.36515   0.00449
    550.0   0.36679   0.00464
    560.0   0.36847   0.00449
    570.0   0.36851   0.00470
    580.0   0.37103   0.00440
    590.0   0.36739   0.00452
    600.0   0.36738   0.00441
    610.0   0.36663   0.00450
    620.0   0.36678   0.00430
    630.0   0.36706   0.00460
    640.0   0.36834   0.00427
    650.0   0.36995   0.00436
    660.0   0.37080   0.00420
    670.0   0.37066   0.00453
    680.0   0.37162   0.00463
    690.0   0.37059   0.00434
    700.0   0.36965   0.00448
    710.0   0.36825   0.00419
    720.0   0.36679   0.00440
    730.0   0.36551   0.00430
    740.0   0.36238   0.00425
    750.0   0.35822   0.00418
    760.0   0.35274   0.00398
    770.0   0.34698   0.00392
    780.0   0.34024   0.00386
    790.0   0.33312   0.00373
    800.0   0.32461   0.00355
    810.0   0.31685   0.00336
    820.0   0.30892   0.00335
    830.0   0.30053   0.00324
    840.0   0.29324   0.00321
    850.0   0.28623   0.00310
    860.0   0.28015   0.00316
    870.0   0.27411   0.00324
    880.0   0.26810   0.00415



 C2OC09A     .ASC                        

 OC-TXH-009-A                                                            
 Olivenza (LL5) Chip at (30,0)                                           
 * User: TXH                                                             
 * Research Type: NASA-ESA-FSU-Japan-Canada, Active Missions, Proposal Pr
 * NASA PI/CoI or Sponsor:                                               
 * BVC: Brown Planetary Geosciences                                      
 * Public Release Date: 08/30/2008                                       
 * Run Mode: All Wavelengths for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 7.0 mm                                                 
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 30-AUG-05   Time: 15:24:50
