    57
    320.0   0.10068   0.06697
    330.0   0.11082   0.04075
    340.0   0.12250   0.02728
    350.0   0.13600   0.01856
    360.0   0.15160   0.01329
    370.0   0.16714   0.00947
    380.0   0.17913   0.00771
    390.0   0.18780   0.00827
    400.0   0.19188   0.00455
    410.0   0.20006   0.00309
    420.0   0.20470   0.00243
    430.0   0.20791   0.00215
    440.0   0.21171   0.00197
    450.0   0.21184   0.00183
    460.0   0.21529   0.00179
    470.0   0.21878   0.00183
    480.0   0.22389   0.00190
    490.0   0.22562   0.00190
    500.0   0.22825   0.00192
    510.0   0.23254   0.00198
    520.0   0.23591   0.00201
    530.0   0.23800   0.00199
    540.0   0.24048   0.00207
    550.0   0.24231   0.00202
    560.0   0.24370   0.00204
    570.0   0.24428   0.00192
    580.0   0.24391   0.00203
    590.0   0.24371   0.00199
    600.0   0.24348   0.00203
    610.0   0.24347   0.00196
    620.0   0.24359   0.00199
    630.0   0.24459   0.00203
    640.0   0.24581   0.00202
    650.0   0.24726   0.00210
    660.0   0.24833   0.00227
    670.0   0.24900   0.00224
    680.0   0.24990   0.00221
    690.0   0.24955   0.00228
    700.0   0.24978   0.00226
    710.0   0.24914   0.00239
    720.0   0.24849   0.00239
    730.0   0.24676   0.00250
    740.0   0.24462   0.00243
    750.0   0.24167   0.00243
    760.0   0.23732   0.00233
    770.0   0.23266   0.00244
    780.0   0.22653   0.00231
    790.0   0.21996   0.00239
    800.0   0.21293   0.00247
    810.0   0.20578   0.00258
    820.0   0.19844   0.00250
    830.0   0.19128   0.00250
    840.0   0.18493   0.00255
    850.0   0.17912   0.00250
    860.0   0.17416   0.00267
    870.0   0.16948   0.00272
    880.0   0.16643   0.00357



 C2OC09B     .ASC                        

 OC-TXH-009-B                                                            
 Olivenza (LL5) 125-500 um at (30,0)                                     
 * User: TXH                                                             
 * Research Type: NASA-ESA-FSU-Japan-Canada, Active Missions, Proposal Pr
 * NASA PI/CoI or Sponsor:                                               
 * BVC: Brown Planetary Geosciences                                      
 * Public Release Date: 08/30/2008                                       
 * Run Mode: All Wavelengths for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 7.0 mm                                                 
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 30-AUG-05   Time: 15:24:50
