   111
    600.0   0.29853   0.00499
    610.0   0.29860   0.00445
    620.0   0.30000   0.00428
    630.0   0.30002   0.00385
    640.0   0.30184   0.00305
    650.0   0.30311   0.00317
    660.0   0.30572   0.00317
    670.0   0.30548   0.00249
    680.0   0.30902   0.00251
    690.0   0.30890   0.00289
    700.0   0.31110   0.00270
    710.0   0.31147   0.00306
    720.0   0.31024   0.00333
    730.0   0.31027   0.00394
    740.0   0.30726   0.00452
    750.0   0.30609   0.00490
    760.0   0.30054   0.00490
    770.0   0.29661   0.00549
    780.0   0.29215   0.00546
    790.0   0.28555   0.00604
    800.0   0.27808   0.00634
    810.0   0.26956   0.00647
    820.0   0.26052   0.00670
    830.0   0.25247   0.00623
    840.0   0.24456   0.00563
    850.0   0.23750   0.00522
    860.0   0.23075   0.00479
    870.0   0.22511   0.00428
    880.0   0.21985   0.00360
    890.0   0.21552   0.00306
    900.0   0.21203   0.00255
    910.0   0.20883   0.00287
    920.0   0.20675   0.00248
    930.0   0.20623   0.00213
    940.0   0.20503   0.00224
    950.0   0.20556   0.00186
    960.0   0.20542   0.00188
    970.0   0.20662   0.00183
    980.0   0.20786   0.00170
    990.0   0.20990   0.00164
   1000.0   0.21119   0.00156
   1010.0   0.21333   0.00158
   1020.0   0.21511   0.00161
   1030.0   0.21814   0.00198
   1040.0   0.21906   0.00182
   1050.0   0.22109   0.00170
   1060.0   0.22355   0.00168
   1070.0   0.22685   0.00148
   1080.0   0.22879   0.00161
   1090.0   0.23232   0.00148
   1100.0   0.23525   0.00167
   1110.0   0.23945   0.00142
   1120.0   0.24348   0.00161
   1130.0   0.24523   0.00143
   1140.0   0.24838   0.00154
   1150.0   0.25111   0.00153
   1160.0   0.25298   0.00144
   1170.0   0.25542   0.00142
   1180.0   0.25775   0.00158
   1190.0   0.26010   0.00159
   1200.0   0.26079   0.00156
   1210.0   0.26235   0.00171
   1220.0   0.26315   0.00155
   1230.0   0.26528   0.00138
   1240.0   0.26698   0.00147
   1250.0   0.26736   0.00134
   1260.0   0.26885   0.00111
   1270.0   0.26983   0.00128
   1280.0   0.27070   0.00112
   1290.0   0.27161   0.00108
   1300.0   0.27365   0.00106
   1310.0   0.27494   0.00104
   1320.0   0.27641   0.00099
   1330.0   0.27811   0.00110
   1340.0   0.27988   0.00109
   1350.0   0.28219   0.00112
   1360.0   0.28488   0.00130
   1370.0   0.28696   0.00117
   1380.0   0.28821   0.00139
   1390.0   0.28977   0.00135
   1400.0   0.29210   0.00145
   1410.0   0.29343   0.00133
   1420.0   0.29534   0.00120
   1430.0   0.29841   0.00137
   1440.0   0.30024   0.00122
   1450.0   0.30125   0.00123
   1460.0   0.30349   0.00117
   1470.0   0.30478   0.00128
   1480.0   0.30549   0.00160
   1490.0   0.30696   0.00152
   1500.0   0.30692   0.00149
   1510.0   0.30728   0.00146
   1520.0   0.30886   0.00145
   1530.0   0.30927   0.00140
   1540.0   0.30813   0.00138
   1550.0   0.30857   0.00124
   1560.0   0.30918   0.00156
   1570.0   0.30773   0.00128
   1580.0   0.30685   0.00122
   1590.0   0.30673   0.00149
   1600.0   0.30623   0.00150
   1610.0   0.30507   0.00124
   1620.0   0.30287   0.00115
   1630.0   0.30202   0.00141
   1640.0   0.30120   0.00126
   1650.0   0.29956   0.00148
   1660.0   0.29880   0.00210
   1670.0   0.29706   0.00179
   1680.0   0.29533   0.00142
   1690.0   0.29414   0.00170
   1700.0   0.29284   0.00180



 C2OC10C             .ASC                        

 OC-TXH-010-C                                                            
 Alta'ameem (LL5) <125 um (remake)                                       
 (9, 0) / Spectralon (30, 0)                                             
 * User: TXH                                                             
 * Research Type: Active Missions, DDAP, Hayabusa,                       
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary Geosciences                                      
 * Public Release Date: 05/15/2009                                       
 * Run Mode: All Wavelengths for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 7.0 mm                                                 
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang:  9.00   Detect Ang:  0.00  Volt: 0.777
 Date: 15-MAY-06   Time: 15:35:45
