        54
    350.00   .038900   .122313
    360.00   .040782   .059479
    370.00   .041009   .038618
    380.00   .041603   .014706
    390.00   .041662   .007586
    400.00   .041873   .002756
    410.00   .042040   .001827
    420.00   .041991   .001278
    430.00   .041978   .001064
    440.00   .041811   .000915
    450.00   .041854   .000795
    460.00   .041753   .000719
    470.00   .041796   .000705
    480.00   .041529   .000640
    490.00   .041537   .000607
    500.00   .041563   .000578
    510.00   .041665   .000566
    520.00   .041807   .000553
    530.00   .041978   .000526
    540.00   .042247   .000494
    550.00   .042317   .000479
    560.00   .042150   .000452
    570.00   .042347   .000426
    580.00   .042414   .000456
    590.00   .042669   .000517
    600.00   .042615   .000504
    610.00   .042806   .000507
    620.00   .042657   .000522
    630.00   .042837   .000539
    640.00   .042749   .000559
    650.00   .043044   .000590
    660.00   .043404   .000672
    670.00   .043477   .000693
    680.00   .043801   .000732
    690.00   .043975   .000730
    700.00   .043692   .000760
    710.00   .043964   .000848
    720.00   .043907   .000817
    730.00   .044241   .000969
    740.00   .044098   .001052
    750.00   .044248   .001181
    760.00   .044152   .001312
    770.00   .044447   .001466
    780.00   .044260   .001713
    790.00   .044669   .001951
    800.00   .044478   .002162
    810.00   .044603   .002345
    820.00   .044719   .002498
    830.00   .044925   .002562
    840.00   .044949   .002601
    850.00   .045046   .002638
    860.00   .045114   .002739
    870.00   .045052   .002800
    880.00   .045196   .003134



 C3MB64I4.ASC           

 MB-TXH-064-I4
 * User: TXH
 * Research Type: Active Missions, PDART, Hayabusa2
 * NASA PI/CoI or Sponsor: TXH
 * BVC: Brown Planetary GeoSciences
 * Public Release Date: 04/26/2021
 * End Time: 15:32:43  26/Apr/2018
 * Total Accounted Time: 00:35:12
 * Run Mode: All Samples at Each Wavelength
 * Stage Type: Automatic
 * Spinning: Yes
 * Azimuth Angle: 0.0
 * Aperture Size: 3.5
 * Scrambler: In
 * Depolarizer: In
 * Minimum Initial Dwell Time: 4.5
 * Maximum Extended Dwell Time: 30.0
 * Initial Background at Home: 9.171743e-004
 * Standard Deviation of Background at Home: 1.688356e-004
 * Initial Signal at Home: 6.816043e-001
 * Standard Deviation of Signal at Home: 1.430241e-003
 * Detector: PMT (-1050 V)  Lamp: Halogen  Grating: 2  Resolution: 1.60 nm  Filter: 1
 
 Source Ang:  30.00, Detect Ang:    .00, Volt:  .777
 Date: 26-APR-18, Time: 13:15:19
 
 RATIOS ADJUSTED USING RELAB SPECTRALON CALIBRATION TABLE
