    57
    320.0   0.11989   0.11458
    330.0   0.14455   0.07066
    340.0   0.16748   0.04687
    350.0   0.19283   0.03201
    360.0   0.22273   0.02285
    370.0   0.24849   0.01654
    380.0   0.26939   0.01353
    390.0   0.28526   0.01469
    400.0   0.29231   0.00755
    410.0   0.30721   0.00474
    420.0   0.31513   0.00353
    430.0   0.32076   0.00301
    440.0   0.32673   0.00265
    450.0   0.32696   0.00235
    460.0   0.33344   0.00216
    470.0   0.33853   0.00205
    480.0   0.34708   0.00199
    490.0   0.35012   0.00210
    500.0   0.35447   0.00201
    510.0   0.36188   0.00216
    520.0   0.36622   0.00205
    530.0   0.37008   0.00198
    540.0   0.37406   0.00199
    550.0   0.37717   0.00224
    560.0   0.37941   0.00223
    570.0   0.38001   0.00193
    580.0   0.38019   0.00197
    590.0   0.38063   0.00237
    600.0   0.38029   0.00203
    610.0   0.38158   0.00215
    620.0   0.38235   0.00212
    630.0   0.38427   0.00203
    640.0   0.38711   0.00218
    650.0   0.38947   0.00209
    660.0   0.39080   0.00219
    670.0   0.39214   0.00218
    680.0   0.39313   0.00228
    690.0   0.39290   0.00229
    700.0   0.39383   0.00235
    710.0   0.39342   0.00261
    720.0   0.39275   0.00243
    730.0   0.39205   0.00232
    740.0   0.38911   0.00231
    750.0   0.38610   0.00253
    760.0   0.38158   0.00250
    770.0   0.37586   0.00263
    780.0   0.36926   0.00271
    790.0   0.36090   0.00294
    800.0   0.35262   0.00305
    810.0   0.34359   0.00310
    820.0   0.33401   0.00330
    830.0   0.32508   0.00342
    840.0   0.31614   0.00340
    850.0   0.30849   0.00378
    860.0   0.30130   0.00408
    870.0   0.29468   0.00491
    880.0   0.28968   0.00758



 C3OC09C     .ASC                        

 OC-TXH-009-C                                                            
 Olivenza (LL5) <125 um at (60,0)                                        
 * User: TXH                                                             
 * Research Type: NASA-ESA-FSU-Japan-Canada, Active Missions, Proposal Pr
 * NASA PI/CoI or Sponsor:                                               
 * BVC: Brown Planetary Geosciences                                      
 * Public Release Date: 08/31/2008                                       
 * Run Mode: All Wavelengths for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 7.0 mm                                                 
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 60.00   Detect Ang:  0.00  Volt: 0.777
 Date: 31-AUG-05   Time: 10:07:54
