    95
    760.0   0.20502   0.00489
    770.0   0.20128   0.00519
    780.0   0.19521   0.00629
    790.0   0.18875   0.00629
    800.0   0.18342   0.00588
    810.0   0.17604   0.00627
    820.0   0.16875   0.00636
    830.0   0.16237   0.00615
    840.0   0.15487   0.00544
    850.0   0.15001   0.00541
    860.0   0.14586   0.00444
    870.0   0.14109   0.00399
    880.0   0.13758   0.00349
    890.0   0.13473   0.00293
    900.0   0.13149   0.00255
    910.0   0.13008   0.00282
    920.0   0.12779   0.00239
    930.0   0.12669   0.00246
    940.0   0.12662   0.00211
    950.0   0.12630   0.00225
    960.0   0.12653   0.00196
    970.0   0.12703   0.00204
    980.0   0.12799   0.00182
    990.0   0.12930   0.00164
   1000.0   0.13063   0.00181
   1010.0   0.13231   0.00169
   1020.0   0.13425   0.00179
   1030.0   0.13562   0.00176
   1040.0   0.13739   0.00160
   1050.0   0.13955   0.00196
   1060.0   0.14119   0.00184
   1070.0   0.14320   0.00160
   1080.0   0.14530   0.00145
   1090.0   0.14772   0.00175
   1100.0   0.15040   0.00141
   1110.0   0.15346   0.00165
   1120.0   0.15513   0.00132
   1130.0   0.15762   0.00161
   1140.0   0.15954   0.00130
   1150.0   0.16217   0.00147
   1160.0   0.16291   0.00170
   1170.0   0.16519   0.00169
   1180.0   0.16577   0.00167
   1190.0   0.16750   0.00151
   1200.0   0.16870   0.00161
   1210.0   0.16878   0.00172
   1220.0   0.16990   0.00161
   1230.0   0.17106   0.00155
   1240.0   0.17184   0.00121
   1250.0   0.17344   0.00156
   1260.0   0.17371   0.00152
   1270.0   0.17453   0.00127
   1280.0   0.17571   0.00130
   1290.0   0.17646   0.00106
   1300.0   0.17741   0.00103
   1310.0   0.17851   0.00099
   1320.0   0.18020   0.00108
   1330.0   0.18156   0.00105
   1340.0   0.18307   0.00114
   1350.0   0.18476   0.00106
   1360.0   0.18708   0.00151
   1370.0   0.18683   0.00151
   1380.0   0.18992   0.00155
   1390.0   0.19122   0.00130
   1400.0   0.19141   0.00138
   1410.0   0.19383   0.00125
   1420.0   0.19563   0.00122
   1430.0   0.19832   0.00137
   1440.0   0.19968   0.00145
   1450.0   0.19987   0.00123
   1460.0   0.20187   0.00112
   1470.0   0.20267   0.00131
   1480.0   0.20326   0.00128
   1490.0   0.20405   0.00128
   1500.0   0.20506   0.00128
   1510.0   0.20489   0.00104
   1520.0   0.20580   0.00139
   1530.0   0.20546   0.00149
   1540.0   0.20572   0.00135
   1550.0   0.20504   0.00140
   1560.0   0.20481   0.00122
   1570.0   0.20430   0.00150
   1580.0   0.20362   0.00133
   1590.0   0.20285   0.00140
   1600.0   0.20213   0.00160
   1610.0   0.20076   0.00145
   1620.0   0.19967   0.00136
   1630.0   0.19861   0.00157
   1640.0   0.19751   0.00152
   1650.0   0.19572   0.00174
   1660.0   0.19498   0.00149
   1670.0   0.19313   0.00190
   1680.0   0.19263   0.00183
   1690.0   0.19085   0.00190
   1700.0   0.18920   0.00204



 C3OC10D             .ASC                        

 OC-TXH-010-D                                                            
 Alta'ameem (LL5) 45-125 um                                              
 (21, 0) / Spectralon (30, 0)                                            
 * User: TXH                                                             
 * Research Type: Active Missions, DDAP, Hayabusa,                       
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary Geosciences                                      
 * Public Release Date: 05/15/2009                                       
 * Run Mode: All Wavelengths for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 7.0 mm                                                 
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 21.00   Detect Ang:  0.00  Volt: 0.777
 Date: 15-MAY-06   Time: 13:47:46
