   115
    320.0   0.02776   0.00374
    325.0   0.02787   0.00272
    330.0   0.02794   0.00206
    335.0   0.02777   0.00172
    340.0   0.02774   0.00139
    345.0   0.02744   0.00119
    350.0   0.02692   0.00095
    355.0   0.02645   0.00083
    360.0   0.02605   0.00070
    365.0   0.02569   0.00061
    370.0   0.02520   0.00051
    375.0   0.02477   0.00046
    380.0   0.02467   0.00042
    385.0   0.02430   0.00041
    390.0   0.02410   0.00045
    395.0   0.02371   0.00052
    400.0   0.02352   0.00025
    405.0   0.02332   0.00022
    410.0   0.02306   0.00020
    415.0   0.02299   0.00018
    420.0   0.02257   0.00017
    425.0   0.02271   0.00015
    430.0   0.02266   0.00016
    435.0   0.02257   0.00015
    440.0   0.02257   0.00015
    445.0   0.02246   0.00015
    450.0   0.02250   0.00014
    455.0   0.02244   0.00013
    460.0   0.02244   0.00013
    465.0   0.02240   0.00013
    470.0   0.02237   0.00014
    475.0   0.02241   0.00012
    480.0   0.02238   0.00013
    485.0   0.02243   0.00011
    490.0   0.02239   0.00012
    495.0   0.02246   0.00012
    500.0   0.02248   0.00012
    505.0   0.02254   0.00012
    510.0   0.02261   0.00011
    515.0   0.02264   0.00010
    520.0   0.02252   0.00013
    525.0   0.02296   0.00010
    530.0   0.02314   0.00011
    535.0   0.02320   0.00011
    540.0   0.02326   0.00010
    545.0   0.02336   0.00011
    550.0   0.02327   0.00012
    555.0   0.02344   0.00011
    560.0   0.02339   0.00011
    565.0   0.02352   0.00009
    570.0   0.02354   0.00010
    575.0   0.02363   0.00009
    580.0   0.02363   0.00010
    585.0   0.02368   0.00009
    590.0   0.02369   0.00008
    595.0   0.02371   0.00008
    600.0   0.02377   0.00009
    605.0   0.02384   0.00009
    610.0   0.02395   0.00009
    615.0   0.02409   0.00009
    620.0   0.02418   0.00010
    625.0   0.02411   0.00010
    630.0   0.02415   0.00010
    635.0   0.02426   0.00010
    640.0   0.02429   0.00008
    645.0   0.02434   0.00009
    650.0   0.02434   0.00009
    655.0   0.02438   0.00009
    660.0   0.02446   0.00010
    665.0   0.02448   0.00012
    670.0   0.02450   0.00012
    675.0   0.02446   0.00010
    680.0   0.02459   0.00010
    685.0   0.02457   0.00010
    690.0   0.02458   0.00010
    695.0   0.02464   0.00011
    700.0   0.02461   0.00011
    705.0   0.02475   0.00012
    710.0   0.02463   0.00012
    715.0   0.02476   0.00011
    720.0   0.02492   0.00011
    725.0   0.02509   0.00010
    730.0   0.02521   0.00010
    735.0   0.02522   0.00012
    740.0   0.02535   0.00011
    745.0   0.02535   0.00012
    750.0   0.02541   0.00012
    755.0   0.02546   0.00011
    760.0   0.02547   0.00011
    765.0   0.02559   0.00013
    770.0   0.02562   0.00012
    775.0   0.02571   0.00014
    780.0   0.02572   0.00014
    785.0   0.02586   0.00014
    790.0   0.02590   0.00014
    795.0   0.02589   0.00015
    800.0   0.02604   0.00016
    805.0   0.02605   0.00017
    810.0   0.02617   0.00019
    815.0   0.02606   0.00018
    820.0   0.02632   0.00018
    825.0   0.02622   0.00020
    830.0   0.02628   0.00020
    835.0   0.02643   0.00019
    840.0   0.02633   0.00020
    845.0   0.02653   0.00018
    850.0   0.02646   0.00018
    855.0   0.02656   0.00020
    860.0   0.02665   0.00021
    865.0   0.02662   0.00020
    870.0   0.02668   0.00023
    875.0   0.02660   0.00023
    880.0   0.02658   0.00029
    885.0   0.02650   0.00043
    890.0   0.02627   0.00069



 C7MT11      .ASC                        

 MT-MEZ-011                                                              
 Tagish Lake (ET01-B) <125 um at (15,-15) geometry with depolarizer      
 * User: TXH                                                             
 * Research Type: Cosmochemistry, Origins of Solar Systems,              
 * NASA PI/CoI or Sponsor: MEZ                                           
 * BVC: Visitor                                                          
 * Public Release Date: 05/18/2004                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 7.0 mm                                                 
 * Scrambler: Out                                                        
 * Depolarizer: In                                                       

 Source Ang: 15.00   Detect Ang: 15.00  Volt: 0.777
 Date: 18-MAY-01   Time: 12:27:15
