    52
    370.0   0.03500   0.00912
    380.0   0.03688   0.00618
    390.0   0.03815   0.00291
    400.0   0.03920   0.00169
    410.0   0.04039   0.00111
    420.0   0.04165   0.00080
    430.0   0.04293   0.00068
    440.0   0.04398   0.00056
    450.0   0.04493   0.00051
    460.0   0.04560   0.00045
    470.0   0.04640   0.00042
    480.0   0.04744   0.00040
    490.0   0.04816   0.00036
    500.0   0.04890   0.00045
    510.0   0.04968   0.00043
    520.0   0.05016   0.00041
    530.0   0.05054   0.00040
    540.0   0.05075   0.00039
    550.0   0.05102   0.00040
    560.0   0.05108   0.00038
    570.0   0.05097   0.00037
    580.0   0.05087   0.00036
    590.0   0.05062   0.00038
    600.0   0.05026   0.00038
    610.0   0.05004   0.00038
    620.0   0.04960   0.00039
    630.0   0.04917   0.00041
    640.0   0.04882   0.00045
    650.0   0.04846   0.00046
    660.0   0.04809   0.00039
    670.0   0.04779   0.00043
    680.0   0.04755   0.00042
    690.0   0.04736   0.00040
    700.0   0.04710   0.00043
    710.0   0.04690   0.00046
    720.0   0.04679   0.00049
    730.0   0.04669   0.00051
    740.0   0.04679   0.00058
    750.0   0.04681   0.00064
    760.0   0.04684   0.00071
    770.0   0.04704   0.00079
    780.0   0.04711   0.00088
    790.0   0.04728   0.00099
    800.0   0.04748   0.00111
    810.0   0.04742   0.00124
    820.0   0.04745   0.00134
    830.0   0.04750   0.00143
    840.0   0.04736   0.00143
    850.0   0.04718   0.00142
    860.0   0.04704   0.00140
    870.0   0.04687   0.00147
    880.0   0.04658   0.00168



 CAMP198D            .ASC                        

 MP-TXH-198-D                                                            
 ALH 84040 (CM2) 250-500 um / Spectralon at (i,e)=(10,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/14/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 9.053192e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 10.00   Detect Ang:  0.00  Volt: 0.777
 Date: 14-SEP-16   Time: 12:37:09
