    52
    370.0   0.02778   0.00789
    380.0   0.02870   0.00552
    390.0   0.02841   0.00254
    400.0   0.02852   0.00151
    410.0   0.02867   0.00103
    420.0   0.02881   0.00075
    430.0   0.02907   0.00063
    440.0   0.02924   0.00056
    450.0   0.02929   0.00054
    460.0   0.02932   0.00050
    470.0   0.02951   0.00047
    480.0   0.02964   0.00046
    490.0   0.02974   0.00045
    500.0   0.02984   0.00050
    510.0   0.02993   0.00049
    520.0   0.03000   0.00047
    530.0   0.03001   0.00047
    540.0   0.03011   0.00047
    550.0   0.03012   0.00045
    560.0   0.03020   0.00044
    570.0   0.03017   0.00044
    580.0   0.03019   0.00044
    590.0   0.03021   0.00043
    600.0   0.03024   0.00044
    610.0   0.03022   0.00048
    620.0   0.03022   0.00045
    630.0   0.03026   0.00049
    640.0   0.03028   0.00048
    650.0   0.03023   0.00051
    660.0   0.03025   0.00046
    670.0   0.03027   0.00050
    680.0   0.03031   0.00046
    690.0   0.03034   0.00047
    700.0   0.03032   0.00048
    710.0   0.03036   0.00047
    720.0   0.03034   0.00053
    730.0   0.03038   0.00056
    740.0   0.03036   0.00059
    750.0   0.03038   0.00063
    760.0   0.03030   0.00069
    770.0   0.03044   0.00076
    780.0   0.03036   0.00085
    790.0   0.03044   0.00094
    800.0   0.03041   0.00105
    810.0   0.03049   0.00115
    820.0   0.03041   0.00123
    830.0   0.03047   0.00129
    840.0   0.03064   0.00134
    850.0   0.03067   0.00128
    860.0   0.03061   0.00131
    870.0   0.03076   0.00130
    880.0   0.03097   0.00149



 CAMP226A3           .ASC                        

 MP-TXH-226-A3                                                           
 MET 00639 (CM2) <125 um / Spectralon at (i,e)=(10,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/22/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.557149e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 10.00   Detect Ang:  0.00  Volt: 0.777
 Date: 22-SEP-16   Time: 09:57:56
