    52
    370.0   0.02552   0.00788
    380.0   0.02538   0.00545
    390.0   0.02577   0.00253
    400.0   0.02611   0.00151
    410.0   0.02629   0.00100
    420.0   0.02644   0.00071
    430.0   0.02663   0.00061
    440.0   0.02678   0.00053
    450.0   0.02692   0.00047
    460.0   0.02697   0.00043
    470.0   0.02710   0.00038
    480.0   0.02724   0.00037
    490.0   0.02741   0.00037
    500.0   0.02759   0.00042
    510.0   0.02770   0.00043
    520.0   0.02778   0.00041
    530.0   0.02786   0.00040
    540.0   0.02792   0.00039
    550.0   0.02799   0.00046
    560.0   0.02801   0.00039
    570.0   0.02806   0.00037
    580.0   0.02809   0.00039
    590.0   0.02814   0.00038
    600.0   0.02817   0.00037
    610.0   0.02817   0.00038
    620.0   0.02824   0.00041
    630.0   0.02824   0.00042
    640.0   0.02824   0.00043
    650.0   0.02832   0.00047
    660.0   0.02830   0.00040
    670.0   0.02839   0.00042
    680.0   0.02840   0.00041
    690.0   0.02846   0.00042
    700.0   0.02851   0.00043
    710.0   0.02855   0.00046
    720.0   0.02864   0.00050
    730.0   0.02868   0.00051
    740.0   0.02868   0.00054
    750.0   0.02872   0.00059
    760.0   0.02868   0.00068
    770.0   0.02874   0.00075
    780.0   0.02879   0.00081
    790.0   0.02881   0.00090
    800.0   0.02879   0.00102
    810.0   0.02890   0.00115
    820.0   0.02883   0.00123
    830.0   0.02888   0.00126
    840.0   0.02883   0.00133
    850.0   0.02875   0.00130
    860.0   0.02866   0.00130
    870.0   0.02842   0.00132
    880.0   0.02802   0.00147



 CAMP226C            .ASC                        

 MP-TXH-226-C                                                            
 MET 00639 (CM2) 125-250 um / Spectralon at (i,e)=(10,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/22/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.557149e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 10.00   Detect Ang:  0.00  Volt: 0.777
 Date: 22-SEP-16   Time: 09:57:56
