    52
    370.0   0.03043   0.00966
    380.0   0.03393   0.00666
    390.0   0.03493   0.00315
    400.0   0.03661   0.00183
    410.0   0.03792   0.00122
    420.0   0.03948   0.00090
    430.0   0.04125   0.00071
    440.0   0.04271   0.00063
    450.0   0.04383   0.00057
    460.0   0.04492   0.00052
    470.0   0.04609   0.00048
    480.0   0.04749   0.00046
    490.0   0.04854   0.00046
    500.0   0.04971   0.00052
    510.0   0.05080   0.00050
    520.0   0.05168   0.00048
    530.0   0.05222   0.00049
    540.0   0.05281   0.00047
    550.0   0.05319   0.00046
    560.0   0.05351   0.00046
    570.0   0.05360   0.00047
    580.0   0.05359   0.00047
    590.0   0.05345   0.00045
    600.0   0.05319   0.00045
    610.0   0.05283   0.00046
    620.0   0.05242   0.00046
    630.0   0.05217   0.00050
    640.0   0.05186   0.00050
    650.0   0.05134   0.00056
    660.0   0.05105   0.00049
    670.0   0.05074   0.00049
    680.0   0.05063   0.00048
    690.0   0.05037   0.00048
    700.0   0.05020   0.00048
    710.0   0.05009   0.00051
    720.0   0.05005   0.00056
    730.0   0.04995   0.00060
    740.0   0.05007   0.00066
    750.0   0.05010   0.00070
    760.0   0.05049   0.00079
    770.0   0.05061   0.00090
    780.0   0.05100   0.00098
    790.0   0.05139   0.00110
    800.0   0.05169   0.00122
    810.0   0.05195   0.00134
    820.0   0.05208   0.00146
    830.0   0.05223   0.00151
    840.0   0.05240   0.00154
    850.0   0.05236   0.00154
    860.0   0.05231   0.00155
    870.0   0.05226   0.00158
    880.0   0.05221   0.00185



 CBMP198A            .ASC                        

 MP-TXH-198-A                                                            
 ALH 84040 (CM2) <125 um / Spectralon at (i,e)=(20,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/14/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.448578e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 20.00   Detect Ang:  0.00  Volt: 0.777
 Date: 14-SEP-16   Time: 14:19:19
