    52
    370.0   0.02988   0.00974
    380.0   0.03218   0.00667
    390.0   0.03287   0.00311
    400.0   0.03382   0.00187
    410.0   0.03486   0.00122
    420.0   0.03591   0.00086
    430.0   0.03713   0.00070
    440.0   0.03802   0.00061
    450.0   0.03881   0.00054
    460.0   0.03943   0.00049
    470.0   0.04020   0.00048
    480.0   0.04108   0.00042
    490.0   0.04170   0.00041
    500.0   0.04244   0.00049
    510.0   0.04313   0.00045
    520.0   0.04356   0.00043
    530.0   0.04379   0.00042
    540.0   0.04414   0.00043
    550.0   0.04427   0.00041
    560.0   0.04437   0.00039
    570.0   0.04433   0.00039
    580.0   0.04430   0.00041
    590.0   0.04414   0.00039
    600.0   0.04378   0.00039
    610.0   0.04343   0.00042
    620.0   0.04307   0.00042
    630.0   0.04279   0.00045
    640.0   0.04249   0.00045
    650.0   0.04210   0.00049
    660.0   0.04177   0.00044
    670.0   0.04154   0.00043
    680.0   0.04137   0.00043
    690.0   0.04119   0.00044
    700.0   0.04096   0.00047
    710.0   0.04078   0.00049
    720.0   0.04067   0.00053
    730.0   0.04057   0.00055
    740.0   0.04060   0.00062
    750.0   0.04062   0.00066
    760.0   0.04063   0.00075
    770.0   0.04079   0.00084
    780.0   0.04105   0.00095
    790.0   0.04110   0.00107
    800.0   0.04112   0.00118
    810.0   0.04127   0.00131
    820.0   0.04128   0.00142
    830.0   0.04123   0.00149
    840.0   0.04130   0.00149
    850.0   0.04130   0.00149
    860.0   0.04114   0.00151
    870.0   0.04082   0.00159
    880.0   0.04092   0.00182



 CBMP198D            .ASC                        

 MP-TXH-198-D                                                            
 ALH 84040 (CM2) 250-500 um / Spectralon at (i,e)=(20,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/14/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.448578e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 20.00   Detect Ang:  0.00  Volt: 0.777
 Date: 14-SEP-16   Time: 14:19:19
