    52
    370.0   0.02528   0.00885
    380.0   0.02515   0.00605
    390.0   0.02558   0.00285
    400.0   0.02598   0.00169
    410.0   0.02614   0.00110
    420.0   0.02626   0.00084
    430.0   0.02649   0.00070
    440.0   0.02663   0.00062
    450.0   0.02674   0.00054
    460.0   0.02679   0.00053
    470.0   0.02692   0.00050
    480.0   0.02703   0.00047
    490.0   0.02711   0.00047
    500.0   0.02726   0.00052
    510.0   0.02738   0.00052
    520.0   0.02746   0.00051
    530.0   0.02752   0.00049
    540.0   0.02759   0.00048
    550.0   0.02762   0.00049
    560.0   0.02767   0.00047
    570.0   0.02770   0.00047
    580.0   0.02771   0.00046
    590.0   0.02781   0.00049
    600.0   0.02780   0.00049
    610.0   0.02782   0.00051
    620.0   0.02785   0.00051
    630.0   0.02786   0.00052
    640.0   0.02791   0.00054
    650.0   0.02792   0.00054
    660.0   0.02783   0.00050
    670.0   0.02799   0.00048
    680.0   0.02807   0.00053
    690.0   0.02808   0.00049
    700.0   0.02812   0.00051
    710.0   0.02810   0.00055
    720.0   0.02811   0.00055
    730.0   0.02814   0.00060
    740.0   0.02815   0.00064
    750.0   0.02821   0.00069
    760.0   0.02823   0.00072
    770.0   0.02815   0.00080
    780.0   0.02821   0.00093
    790.0   0.02820   0.00100
    800.0   0.02820   0.00110
    810.0   0.02821   0.00119
    820.0   0.02831   0.00131
    830.0   0.02828   0.00140
    840.0   0.02824   0.00143
    850.0   0.02826   0.00138
    860.0   0.02822   0.00141
    870.0   0.02835   0.00145
    880.0   0.02831   0.00167



 CBMP226A3           .ASC                        

 MP-TXH-226-A3                                                           
 MET 00639 (CM2) <125 um / Spectralon at (i,e)=(20,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/22/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.936442e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 20.00   Detect Ang:  0.00  Volt: 0.777
 Date: 22-SEP-16   Time: 13:32:56
