    52
    370.0   0.02910   0.01047
    380.0   0.03180   0.00708
    390.0   0.03252   0.00336
    400.0   0.03373   0.00199
    410.0   0.03498   0.00132
    420.0   0.03626   0.00097
    430.0   0.03788   0.00078
    440.0   0.03918   0.00068
    450.0   0.04031   0.00061
    460.0   0.04126   0.00058
    470.0   0.04243   0.00053
    480.0   0.04363   0.00051
    490.0   0.04475   0.00051
    500.0   0.04567   0.00061
    510.0   0.04682   0.00056
    520.0   0.04758   0.00053
    530.0   0.04817   0.00054
    540.0   0.04865   0.00053
    550.0   0.04909   0.00052
    560.0   0.04937   0.00052
    570.0   0.04950   0.00049
    580.0   0.04956   0.00053
    590.0   0.04940   0.00052
    600.0   0.04916   0.00056
    610.0   0.04887   0.00053
    620.0   0.04858   0.00052
    630.0   0.04824   0.00055
    640.0   0.04792   0.00057
    650.0   0.04758   0.00062
    660.0   0.04722   0.00057
    670.0   0.04696   0.00054
    680.0   0.04669   0.00054
    690.0   0.04662   0.00054
    700.0   0.04643   0.00054
    710.0   0.04626   0.00059
    720.0   0.04619   0.00064
    730.0   0.04613   0.00070
    740.0   0.04620   0.00072
    750.0   0.04633   0.00077
    760.0   0.04664   0.00088
    770.0   0.04696   0.00101
    780.0   0.04729   0.00107
    790.0   0.04767   0.00124
    800.0   0.04798   0.00137
    810.0   0.04823   0.00150
    820.0   0.04848   0.00162
    830.0   0.04857   0.00168
    840.0   0.04877   0.00172
    850.0   0.04885   0.00171
    860.0   0.04894   0.00170
    870.0   0.04905   0.00173
    880.0   0.04944   0.00195



 CCMP198A            .ASC                        

 MP-TXH-198-A                                                            
 ALH 84040 (CM2) <125 um / Spectralon at (i,e)=(30,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/15/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.921641e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 15-SEP-16   Time: 09:44:09
