    52
    370.0   0.02813   0.01044
    380.0   0.03004   0.00708
    390.0   0.03070   0.00338
    400.0   0.03166   0.00198
    410.0   0.03258   0.00131
    420.0   0.03373   0.00098
    430.0   0.03487   0.00078
    440.0   0.03580   0.00069
    450.0   0.03656   0.00061
    460.0   0.03725   0.00055
    470.0   0.03802   0.00056
    480.0   0.03891   0.00049
    490.0   0.03966   0.00046
    500.0   0.04026   0.00058
    510.0   0.04095   0.00056
    520.0   0.04147   0.00053
    530.0   0.04177   0.00052
    540.0   0.04201   0.00051
    550.0   0.04224   0.00050
    560.0   0.04232   0.00049
    570.0   0.04235   0.00050
    580.0   0.04223   0.00048
    590.0   0.04204   0.00049
    600.0   0.04186   0.00050
    610.0   0.04157   0.00049
    620.0   0.04124   0.00052
    630.0   0.04093   0.00054
    640.0   0.04066   0.00057
    650.0   0.04031   0.00061
    660.0   0.04006   0.00055
    670.0   0.03980   0.00052
    680.0   0.03966   0.00053
    690.0   0.03949   0.00052
    700.0   0.03940   0.00056
    710.0   0.03922   0.00056
    720.0   0.03912   0.00062
    730.0   0.03907   0.00069
    740.0   0.03910   0.00074
    750.0   0.03921   0.00077
    760.0   0.03926   0.00086
    770.0   0.03957   0.00097
    780.0   0.03959   0.00108
    790.0   0.03979   0.00121
    800.0   0.03998   0.00136
    810.0   0.04006   0.00150
    820.0   0.04005   0.00160
    830.0   0.04000   0.00166
    840.0   0.03997   0.00174
    850.0   0.03966   0.00173
    860.0   0.03952   0.00169
    870.0   0.03905   0.00173
    880.0   0.03832   0.00192



 CCMP198C            .ASC                        

 MP-TXH-198-C                                                            
 ALH 84040 (CM2) 125-250 um / Spectralon at (i,e)=(30,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/15/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.921641e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 15-SEP-16   Time: 09:44:09
