    52
    370.0   0.02563   0.01209
    380.0   0.02919   0.00817
    390.0   0.03044   0.00383
    400.0   0.03180   0.00227
    410.0   0.03309   0.00148
    420.0   0.03463   0.00108
    430.0   0.03617   0.00089
    440.0   0.03743   0.00079
    450.0   0.03857   0.00072
    460.0   0.03957   0.00068
    470.0   0.04078   0.00059
    480.0   0.04209   0.00058
    490.0   0.04320   0.00057
    500.0   0.04419   0.00066
    510.0   0.04535   0.00063
    520.0   0.04620   0.00061
    530.0   0.04676   0.00060
    540.0   0.04732   0.00064
    550.0   0.04771   0.00059
    560.0   0.04802   0.00061
    570.0   0.04820   0.00060
    580.0   0.04828   0.00059
    590.0   0.04809   0.00058
    600.0   0.04790   0.00062
    610.0   0.04767   0.00060
    620.0   0.04738   0.00062
    630.0   0.04707   0.00063
    640.0   0.04666   0.00067
    650.0   0.04634   0.00069
    660.0   0.04617   0.00061
    670.0   0.04591   0.00061
    680.0   0.04577   0.00060
    690.0   0.04568   0.00061
    700.0   0.04543   0.00065
    710.0   0.04533   0.00064
    720.0   0.04517   0.00072
    730.0   0.04533   0.00075
    740.0   0.04531   0.00084
    750.0   0.04561   0.00089
    760.0   0.04584   0.00099
    770.0   0.04611   0.00110
    780.0   0.04644   0.00121
    790.0   0.04685   0.00139
    800.0   0.04706   0.00148
    810.0   0.04750   0.00166
    820.0   0.04742   0.00181
    830.0   0.04780   0.00190
    840.0   0.04771   0.00191
    850.0   0.04793   0.00191
    860.0   0.04796   0.00195
    870.0   0.04784   0.00199
    880.0   0.04806   0.00231



 CDMP198A            .ASC                        

 MP-TXH-198-A                                                            
 ALH 84040 (CM2) <125 um / Spectralon at (i,e)=(40,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/15/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 9.013509e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 40.00   Detect Ang:  0.00  Volt: 0.777
 Date: 15-SEP-16   Time: 11:29:48
