    52
    370.0   0.02587   0.01231
    380.0   0.02750   0.00824
    390.0   0.02889   0.00390
    400.0   0.02965   0.00226
    410.0   0.03050   0.00151
    420.0   0.03161   0.00106
    430.0   0.03264   0.00085
    440.0   0.03354   0.00074
    450.0   0.03425   0.00065
    460.0   0.03490   0.00060
    470.0   0.03563   0.00057
    480.0   0.03650   0.00054
    490.0   0.03714   0.00050
    500.0   0.03784   0.00059
    510.0   0.03848   0.00057
    520.0   0.03891   0.00056
    530.0   0.03918   0.00056
    540.0   0.03948   0.00054
    550.0   0.03959   0.00052
    560.0   0.03971   0.00052
    570.0   0.03964   0.00053
    580.0   0.03952   0.00051
    590.0   0.03938   0.00051
    600.0   0.03910   0.00051
    610.0   0.03881   0.00053
    620.0   0.03850   0.00053
    630.0   0.03824   0.00056
    640.0   0.03788   0.00060
    650.0   0.03760   0.00062
    660.0   0.03736   0.00055
    670.0   0.03719   0.00057
    680.0   0.03696   0.00053
    690.0   0.03681   0.00053
    700.0   0.03663   0.00056
    710.0   0.03650   0.00059
    720.0   0.03628   0.00064
    730.0   0.03631   0.00070
    740.0   0.03623   0.00077
    750.0   0.03631   0.00084
    760.0   0.03631   0.00096
    770.0   0.03650   0.00106
    780.0   0.03651   0.00118
    790.0   0.03668   0.00131
    800.0   0.03693   0.00149
    810.0   0.03703   0.00163
    820.0   0.03703   0.00176
    830.0   0.03690   0.00186
    840.0   0.03695   0.00189
    850.0   0.03684   0.00193
    860.0   0.03682   0.00192
    870.0   0.03676   0.00199
    880.0   0.03659   0.00229



 CDMP198C            .ASC                        

 MP-TXH-198-C                                                            
 ALH 84040 (CM2) 125-250 um / Spectralon at (i,e)=(40,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/15/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 9.013509e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 40.00   Detect Ang:  0.00  Volt: 0.777
 Date: 15-SEP-16   Time: 11:29:48
