    52
    370.0   0.02113   0.01057
    380.0   0.02168   0.00723
    390.0   0.02198   0.00346
    400.0   0.02200   0.00205
    410.0   0.02207   0.00144
    420.0   0.02224   0.00110
    430.0   0.02237   0.00095
    440.0   0.02240   0.00087
    450.0   0.02250   0.00082
    460.0   0.02260   0.00078
    470.0   0.02273   0.00076
    480.0   0.02280   0.00077
    490.0   0.02294   0.00075
    500.0   0.02303   0.00079
    510.0   0.02309   0.00078
    520.0   0.02315   0.00079
    530.0   0.02318   0.00076
    540.0   0.02326   0.00077
    550.0   0.02328   0.00080
    560.0   0.02335   0.00078
    570.0   0.02334   0.00079
    580.0   0.02336   0.00077
    590.0   0.02339   0.00078
    600.0   0.02349   0.00079
    610.0   0.02342   0.00079
    620.0   0.02347   0.00082
    630.0   0.02354   0.00083
    640.0   0.02354   0.00084
    650.0   0.02355   0.00087
    660.0   0.02357   0.00079
    670.0   0.02363   0.00081
    680.0   0.02370   0.00082
    690.0   0.02374   0.00084
    700.0   0.02377   0.00082
    710.0   0.02378   0.00089
    720.0   0.02382   0.00091
    730.0   0.02386   0.00093
    740.0   0.02379   0.00096
    750.0   0.02390   0.00104
    760.0   0.02387   0.00112
    770.0   0.02384   0.00117
    780.0   0.02392   0.00128
    790.0   0.02403   0.00141
    800.0   0.02408   0.00147
    810.0   0.02403   0.00160
    820.0   0.02407   0.00172
    830.0   0.02413   0.00178
    840.0   0.02418   0.00183
    850.0   0.02419   0.00182
    860.0   0.02423   0.00181
    870.0   0.02422   0.00188
    880.0   0.02409   0.00205



 CDMP226D            .ASC                        

 MP-TXH-226-D                                                            
 MET 00639 (CM2) 250-500 um / Spectralon at (i,e)=(40,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/22/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 9.248169e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 40.00   Detect Ang:  0.00  Volt: 0.777
 Date: 22-SEP-16   Time: 17:10:50
