   131
    350.0   0.04236   0.00793
    355.0   0.04196   0.00452
    360.0   0.04202   0.00310
    365.0   0.04237   0.00255
    370.0   0.04265   0.00227
    375.0   0.04312   0.00233
    380.0   0.04331   0.00238
    385.0   0.04352   0.00221
    390.0   0.04376   0.00219
    395.0   0.04407   0.00213
    400.0   0.04436   0.00213
    405.0   0.04479   0.00225
    410.0   0.04524   0.00231
    415.0   0.04553   0.00307
    420.0   0.04599   0.00298
    425.0   0.04614   0.00328
    430.0   0.04646   0.00302
    435.0   0.04679   0.00301
    440.0   0.04708   0.00292
    445.0   0.04762   0.00276
    450.0   0.04776   0.00268
    455.0   0.04770   0.00274
    460.0   0.04811   0.00261
    465.0   0.04821   0.00262
    470.0   0.04845   0.00255
    475.0   0.04880   0.00270
    480.0   0.04908   0.00260
    485.0   0.04931   0.00254
    490.0   0.04957   0.00248
    495.0   0.04986   0.00246
    500.0   0.05008   0.00264
    505.0   0.05039   0.00257
    510.0   0.05074   0.00256
    515.0   0.05105   0.00251
    520.0   0.05124   0.00257
    525.0   0.05141   0.00270
    530.0   0.05175   0.00274
    535.0   0.05183   0.00267
    540.0   0.05220   0.00254
    545.0   0.05225   0.00267
    550.0   0.05238   0.00280
    555.0   0.05252   0.00267
    560.0   0.05266   0.00269
    565.0   0.05278   0.00273
    570.0   0.05276   0.00265
    575.0   0.05265   0.00258
    580.0   0.05275   0.00268
    585.0   0.05279   0.00278
    590.0   0.05260   0.00277
    595.0   0.05248   0.00266
    600.0   0.05240   0.00257
    605.0   0.05240   0.00265
    610.0   0.05235   0.00261
    615.0   0.05222   0.00271
    620.0   0.05213   0.00274
    625.0   0.05194   0.00277
    630.0   0.05192   0.00263
    635.0   0.05184   0.00261
    640.0   0.05175   0.00252
    645.0   0.05165   0.00259
    650.0   0.05153   0.00260
    655.0   0.05138   0.00268
    660.0   0.05122   0.00269
    665.0   0.05105   0.00264
    670.0   0.05086   0.00260
    675.0   0.05069   0.00248
    680.0   0.05046   0.00251
    685.0   0.05038   0.00252
    690.0   0.05033   0.00250
    695.0   0.05021   0.00249
    700.0   0.05007   0.00263
    705.0   0.04996   0.00269
    710.0   0.05009   0.00266
    715.0   0.05011   0.00261
    720.0   0.05012   0.00254
    725.0   0.04995   0.00253
    730.0   0.04989   0.00257
    735.0   0.04993   0.00254
    740.0   0.05016   0.00263
    745.0   0.05003   0.00267
    750.0   0.04990   0.00278
    755.0   0.04985   0.00282
    760.0   0.04976   0.00275
    765.0   0.04971   0.00272
    770.0   0.04956   0.00266
    775.0   0.04964   0.00262
    780.0   0.04963   0.00257
    785.0   0.04969   0.00256
    790.0   0.04987   0.00269
    795.0   0.04985   0.00274
    800.0   0.04970   0.00281
    805.0   0.04975   0.00281
    810.0   0.04978   0.00279
    815.0   0.04991   0.00291
    820.0   0.04984   0.00297
    825.0   0.04976   0.00295
    830.0   0.04969   0.00283
    835.0   0.04956   0.00287
    840.0   0.04958   0.00283
    845.0   0.04965   0.00283
    850.0   0.04964   0.00545
    855.0   0.04965   0.00503
    860.0   0.04951   0.00470
    865.0   0.04948   0.00452
    870.0   0.04939   0.00429
    875.0   0.04930   0.00395
    880.0   0.04925   0.00409
    885.0   0.04924   0.00450
    890.0   0.04903   0.00427
    895.0   0.04901   0.00412
    900.0   0.04888   0.00395
    905.0   0.04885   0.00376
    910.0   0.04878   0.00363
    915.0   0.04877   0.00340
    920.0   0.04878   0.00350
    925.0   0.04880   0.00349
    930.0   0.04879   0.00327
    935.0   0.04880   0.00335
    940.0   0.04883   0.00331
    945.0   0.04878   0.00393
    950.0   0.04870   0.00369
    955.0   0.04859   0.00387
    960.0   0.04856   0.00362
    965.0   0.04850   0.00347
    970.0   0.04847   0.00341
    975.0   0.04846   0.00316
    980.0   0.04846   0.00308
    985.0   0.04839   0.00334
    990.0   0.04834   0.00300
    995.0   0.04827   0.00325
   1000.0   0.04832   0.00309



 CDMT232             .ASC                        

 MT-S1S-232                                                              
 Murchison 2-cm chip Spot C (5.6 mm) / Spectralon                        
 (i, e) = (15, -15)                                                      
 * User: S1K                                                             
 * Research Type: NASA - Foreign, Active Missions, Hayabusa2             
 * NASA PI/CoI or Sponsor: S1S                                           
 * BVC: Visitor                                                          
 * Public Release Date: 08/20/2018                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic - Alternate                                     
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 7.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 7.728231e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 15.00   Detect Ang: -15.00  Volt: 0.777
 Date: 19-AUG-15   Time: 14:24:15
