    52
    370.0   0.02461   0.01242
    380.0   0.02689   0.00839
    390.0   0.02799   0.00397
    400.0   0.02872   0.00230
    410.0   0.02953   0.00150
    420.0   0.03062   0.00108
    430.0   0.03162   0.00086
    440.0   0.03255   0.00074
    450.0   0.03324   0.00066
    460.0   0.03387   0.00060
    470.0   0.03462   0.00055
    480.0   0.03549   0.00051
    490.0   0.03613   0.00048
    500.0   0.03674   0.00058
    510.0   0.03732   0.00057
    520.0   0.03776   0.00053
    530.0   0.03805   0.00053
    540.0   0.03828   0.00051
    550.0   0.03846   0.00050
    560.0   0.03854   0.00052
    570.0   0.03854   0.00048
    580.0   0.03843   0.00050
    590.0   0.03824   0.00049
    600.0   0.03795   0.00050
    610.0   0.03771   0.00053
    620.0   0.03746   0.00052
    630.0   0.03714   0.00056
    640.0   0.03673   0.00057
    650.0   0.03651   0.00062
    660.0   0.03633   0.00052
    670.0   0.03610   0.00054
    680.0   0.03589   0.00053
    690.0   0.03572   0.00053
    700.0   0.03554   0.00053
    710.0   0.03531   0.00061
    720.0   0.03529   0.00063
    730.0   0.03521   0.00069
    740.0   0.03521   0.00076
    750.0   0.03515   0.00086
    760.0   0.03533   0.00096
    770.0   0.03541   0.00104
    780.0   0.03549   0.00119
    790.0   0.03572   0.00135
    800.0   0.03583   0.00149
    810.0   0.03589   0.00164
    820.0   0.03608   0.00177
    830.0   0.03601   0.00185
    840.0   0.03583   0.00191
    850.0   0.03588   0.00190
    860.0   0.03583   0.00191
    870.0   0.03577   0.00199
    880.0   0.03547   0.00229



 CEMP198C            .ASC                        

 MP-TXH-198-C                                                            
 ALH 84040 (CM2) 125-250 um / Spectralon at (i,e)=(50,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/15/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.805430e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 50.00   Detect Ang:  0.00  Volt: 0.777
 Date: 15-SEP-16   Time: 14:58:34
