    52
    370.0   0.02042   0.01315
    380.0   0.02087   0.00902
    390.0   0.02144   0.00433
    400.0   0.02158   0.00263
    410.0   0.02170   0.00183
    420.0   0.02185   0.00141
    430.0   0.02195   0.00124
    440.0   0.02203   0.00116
    450.0   0.02211   0.00111
    460.0   0.02210   0.00105
    470.0   0.02225   0.00101
    480.0   0.02235   0.00098
    490.0   0.02247   0.00097
    500.0   0.02259   0.00103
    510.0   0.02267   0.00105
    520.0   0.02274   0.00103
    530.0   0.02282   0.00102
    540.0   0.02286   0.00102
    550.0   0.02293   0.00103
    560.0   0.02299   0.00103
    570.0   0.02312   0.00103
    580.0   0.02312   0.00103
    590.0   0.02320   0.00104
    600.0   0.02319   0.00106
    610.0   0.02325   0.00106
    620.0   0.02330   0.00108
    630.0   0.02336   0.00111
    640.0   0.02342   0.00111
    650.0   0.02346   0.00115
    660.0   0.02357   0.00114
    670.0   0.02374   0.00110
    680.0   0.02377   0.00113
    690.0   0.02392   0.00117
    700.0   0.02394   0.00118
    710.0   0.02401   0.00115
    720.0   0.02402   0.00123
    730.0   0.02417   0.00125
    740.0   0.02417   0.00138
    750.0   0.02429   0.00140
    760.0   0.02434   0.00147
    770.0   0.02442   0.00165
    780.0   0.02454   0.00169
    790.0   0.02459   0.00181
    800.0   0.02462   0.00200
    810.0   0.02477   0.00211
    820.0   0.02456   0.00227
    830.0   0.02475   0.00228
    840.0   0.02475   0.00235
    850.0   0.02457   0.00232
    860.0   0.02448   0.00228
    870.0   0.02436   0.00237
    880.0   0.02377   0.00257



 CEMP226D            .ASC                        

 MP-TXH-226-D                                                            
 MET 00639 (CM2) 250-500 um / Spectralon at (i,e)=(50,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/23/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 9.162089e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 50.00   Detect Ang:  0.00  Volt: 0.777
 Date: 23-SEP-16   Time: 11:17:03
