   131
    350.0   0.04094   0.00758
    355.0   0.04065   0.00432
    360.0   0.04079   0.00285
    365.0   0.04129   0.00228
    370.0   0.04153   0.00213
    375.0   0.04190   0.00206
    380.0   0.04196   0.00191
    385.0   0.04222   0.00185
    390.0   0.04253   0.00176
    395.0   0.04283   0.00179
    400.0   0.04317   0.00400
    405.0   0.04357   0.00338
    410.0   0.04388   0.00299
    415.0   0.04417   0.00268
    420.0   0.04452   0.00245
    425.0   0.04486   0.00269
    430.0   0.04532   0.00251
    435.0   0.04557   0.00235
    440.0   0.04583   0.00223
    445.0   0.04608   0.00214
    450.0   0.04644   0.00200
    455.0   0.04652   0.00201
    460.0   0.04679   0.00193
    465.0   0.04708   0.00189
    470.0   0.04718   0.00184
    475.0   0.04760   0.00178
    480.0   0.04790   0.00184
    485.0   0.04812   0.00181
    490.0   0.04852   0.00180
    495.0   0.04875   0.00182
    500.0   0.04909   0.00178
    505.0   0.04935   0.00174
    510.0   0.04969   0.00177
    515.0   0.05002   0.00181
    520.0   0.05011   0.00178
    525.0   0.05027   0.00182
    530.0   0.05043   0.00185
    535.0   0.05075   0.00182
    540.0   0.05094   0.00181
    545.0   0.05095   0.00182
    550.0   0.05126   0.00186
    555.0   0.05130   0.00188
    560.0   0.05141   0.00185
    565.0   0.05147   0.00180
    570.0   0.05152   0.00184
    575.0   0.05153   0.00184
    580.0   0.05146   0.00183
    585.0   0.05146   0.00184
    590.0   0.05141   0.00184
    595.0   0.05146   0.00181
    600.0   0.05134   0.00184
    605.0   0.05125   0.00177
    610.0   0.05106   0.00175
    615.0   0.05097   0.00176
    620.0   0.05083   0.00183
    625.0   0.05079   0.00183
    630.0   0.05062   0.00179
    635.0   0.05052   0.00174
    640.0   0.05043   0.00177
    645.0   0.05029   0.00178
    650.0   0.05010   0.00183
    655.0   0.04998   0.00183
    660.0   0.04973   0.00177
    665.0   0.04967   0.00174
    670.0   0.04947   0.00178
    675.0   0.04930   0.00177
    680.0   0.04903   0.00172
    685.0   0.04897   0.00172
    690.0   0.04890   0.00176
    695.0   0.04886   0.00175
    700.0   0.04874   0.00169
    705.0   0.04871   0.00169
    710.0   0.04874   0.00172
    715.0   0.04875   0.00169
    720.0   0.04871   0.00172
    725.0   0.04865   0.00174
    730.0   0.04860   0.00170
    735.0   0.04848   0.00173
    740.0   0.04858   0.00179
    745.0   0.04858   0.00175
    750.0   0.04852   0.00171
    755.0   0.04846   0.00169
    760.0   0.04843   0.00178
    765.0   0.04828   0.00179
    770.0   0.04839   0.00184
    775.0   0.04839   0.00179
    780.0   0.04842   0.00177
    785.0   0.04837   0.00176
    790.0   0.04838   0.00187
    795.0   0.04840   0.00188
    800.0   0.04841   0.00190
    805.0   0.04844   0.00191
    810.0   0.04833   0.00201
    815.0   0.04845   0.00195
    820.0   0.04846   0.00197
    825.0   0.04843   0.00199
    830.0   0.04842   0.00203
    835.0   0.04830   0.00205
    840.0   0.04825   0.00200
    845.0   0.04840   0.00200
    850.0   0.04824   0.00489
    855.0   0.04819   0.00440
    860.0   0.04804   0.00409
    865.0   0.04798   0.00373
    870.0   0.04805   0.00366
    875.0   0.04798   0.00340
    880.0   0.04787   0.00334
    885.0   0.04793   0.00413
    890.0   0.04768   0.00348
    895.0   0.04754   0.00330
    900.0   0.04746   0.00341
    905.0   0.04741   0.00332
    910.0   0.04737   0.00331
    915.0   0.04739   0.00299
    920.0   0.04734   0.00300
    925.0   0.04733   0.00280
    930.0   0.04725   0.00311
    935.0   0.04731   0.00269
    940.0   0.04731   0.00282
    945.0   0.04734   0.00392
    950.0   0.04724   0.00373
    955.0   0.04732   0.00339
    960.0   0.04729   0.00333
    965.0   0.04725   0.00319
    970.0   0.04722   0.00299
    975.0   0.04727   0.00290
    980.0   0.04720   0.00272
    985.0   0.04713   0.00292
    990.0   0.04709   0.00277
    995.0   0.04710   0.00284
   1000.0   0.04713   0.00267



 CEMT232             .ASC                        

 MT-S1S-232                                                              
 Murchison 2-cm chip Spot C (5.6 mm) / Spectralon                        
 (i,e)=(0,-30)                                                           
 * User: S1K                                                             
 * Research Type: NASA - Foreign, Active Missions, Hayabusa2             
 * NASA PI/CoI or Sponsor: S1S                                           
 * BVC: Visitor                                                          
 * Public Release Date: 08/19/2018                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic - Alternate                                     
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 7.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.865967e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang:  0.00   Detect Ang: -30.00  Volt: 0.777
 Date: 19-AUG-15   Time: 13:36:22
