    52
    370.0   0.02588   0.01656
    380.0   0.02904   0.01134
    390.0   0.03045   0.00539
    400.0   0.03148   0.00312
    410.0   0.03271   0.00208
    420.0   0.03421   0.00147
    430.0   0.03573   0.00122
    440.0   0.03702   0.00110
    450.0   0.03828   0.00097
    460.0   0.03923   0.00086
    470.0   0.04041   0.00085
    480.0   0.04173   0.00080
    490.0   0.04285   0.00079
    500.0   0.04392   0.00095
    510.0   0.04503   0.00091
    520.0   0.04592   0.00089
    530.0   0.04651   0.00088
    540.0   0.04710   0.00088
    550.0   0.04757   0.00084
    560.0   0.04805   0.00089
    570.0   0.04821   0.00086
    580.0   0.04825   0.00083
    590.0   0.04819   0.00084
    600.0   0.04803   0.00085
    610.0   0.04781   0.00089
    620.0   0.04755   0.00087
    630.0   0.04721   0.00089
    640.0   0.04690   0.00095
    650.0   0.04660   0.00096
    660.0   0.04634   0.00084
    670.0   0.04619   0.00096
    680.0   0.04604   0.00090
    690.0   0.04575   0.00091
    700.0   0.04574   0.00088
    710.0   0.04563   0.00099
    720.0   0.04552   0.00102
    730.0   0.04567   0.00105
    740.0   0.04556   0.00116
    750.0   0.04584   0.00135
    760.0   0.04616   0.00144
    770.0   0.04651   0.00154
    780.0   0.04704   0.00176
    790.0   0.04742   0.00200
    800.0   0.04781   0.00214
    810.0   0.04797   0.00237
    820.0   0.04813   0.00253
    830.0   0.04860   0.00267
    840.0   0.04872   0.00271
    850.0   0.04904   0.00270
    860.0   0.04920   0.00271
    870.0   0.04939   0.00278
    880.0   0.04980   0.00302



 CFMP198A            .ASC                        

 MP-TXH-198-A                                                            
 ALH 84040 (CM2) <125 um / Spectralon at (i,e)=(60,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/16/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.909200e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 60.00   Detect Ang:  0.00  Volt: 0.777
 Date: 16-SEP-16   Time: 09:39:43
