    52
    370.0   0.02209   0.01602
    380.0   0.02299   0.01125
    390.0   0.02296   0.00533
    400.0   0.02314   0.00309
    410.0   0.02316   0.00202
    420.0   0.02338   0.00144
    430.0   0.02340   0.00116
    440.0   0.02357   0.00104
    450.0   0.02370   0.00091
    460.0   0.02372   0.00081
    470.0   0.02389   0.00075
    480.0   0.02401   0.00069
    490.0   0.02411   0.00066
    500.0   0.02421   0.00080
    510.0   0.02430   0.00076
    520.0   0.02435   0.00074
    530.0   0.02441   0.00072
    540.0   0.02454   0.00071
    550.0   0.02460   0.00067
    560.0   0.02463   0.00068
    570.0   0.02467   0.00067
    580.0   0.02472   0.00067
    590.0   0.02486   0.00064
    600.0   0.02492   0.00067
    610.0   0.02495   0.00070
    620.0   0.02501   0.00072
    630.0   0.02512   0.00073
    640.0   0.02513   0.00080
    650.0   0.02520   0.00083
    660.0   0.02526   0.00070
    670.0   0.02532   0.00070
    680.0   0.02551   0.00070
    690.0   0.02551   0.00070
    700.0   0.02555   0.00075
    710.0   0.02559   0.00079
    720.0   0.02560   0.00086
    730.0   0.02580   0.00093
    740.0   0.02587   0.00102
    750.0   0.02597   0.00113
    760.0   0.02589   0.00127
    770.0   0.02609   0.00142
    780.0   0.02611   0.00158
    790.0   0.02629   0.00177
    800.0   0.02625   0.00198
    810.0   0.02641   0.00216
    820.0   0.02653   0.00238
    830.0   0.02661   0.00246
    840.0   0.02661   0.00253
    850.0   0.02678   0.00251
    860.0   0.02669   0.00254
    870.0   0.02686   0.00260
    880.0   0.02714   0.00304



 CFMP226A3           .ASC                        

 MP-TXH-226-A3                                                           
 MET 00639 (CM2) <125 um / Spectralon at (i,e)=(60,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/23/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.873138e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 60.00   Detect Ang:  0.00  Volt: 0.777
 Date: 23-SEP-16   Time: 13:09:01
