    52
    370.0   0.02236   0.01613
    380.0   0.02207   0.01136
    390.0   0.02194   0.00532
    400.0   0.02219   0.00313
    410.0   0.02187   0.00206
    420.0   0.02192   0.00151
    430.0   0.02199   0.00128
    440.0   0.02215   0.00112
    450.0   0.02212   0.00099
    460.0   0.02224   0.00093
    470.0   0.02237   0.00089
    480.0   0.02244   0.00083
    490.0   0.02254   0.00081
    500.0   0.02263   0.00095
    510.0   0.02277   0.00086
    520.0   0.02285   0.00090
    530.0   0.02293   0.00089
    540.0   0.02298   0.00085
    550.0   0.02307   0.00086
    560.0   0.02307   0.00086
    570.0   0.02317   0.00084
    580.0   0.02320   0.00086
    590.0   0.02329   0.00085
    600.0   0.02334   0.00086
    610.0   0.02340   0.00088
    620.0   0.02349   0.00089
    630.0   0.02345   0.00093
    640.0   0.02356   0.00096
    650.0   0.02361   0.00103
    660.0   0.02365   0.00092
    670.0   0.02376   0.00092
    680.0   0.02381   0.00092
    690.0   0.02380   0.00093
    700.0   0.02387   0.00094
    710.0   0.02395   0.00097
    720.0   0.02394   0.00107
    730.0   0.02414   0.00113
    740.0   0.02425   0.00117
    750.0   0.02435   0.00130
    760.0   0.02429   0.00141
    770.0   0.02453   0.00157
    780.0   0.02449   0.00165
    790.0   0.02458   0.00187
    800.0   0.02453   0.00208
    810.0   0.02475   0.00227
    820.0   0.02488   0.00238
    830.0   0.02500   0.00255
    840.0   0.02504   0.00263
    850.0   0.02505   0.00262
    860.0   0.02501   0.00264
    870.0   0.02514   0.00273
    880.0   0.02507   0.00310



 CFMP226C            .ASC                        

 MP-TXH-226-C                                                            
 MET 00639 (CM2) 125-250 um / Spectralon at (i,e)=(60,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/23/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.873138e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 60.00   Detect Ang:  0.00  Volt: 0.777
 Date: 23-SEP-16   Time: 13:09:01
