    52
    370.0   0.02037   0.01612
    380.0   0.02080   0.01134
    390.0   0.02154   0.00544
    400.0   0.02189   0.00322
    410.0   0.02194   0.00225
    420.0   0.02210   0.00181
    430.0   0.02199   0.00155
    440.0   0.02213   0.00141
    450.0   0.02213   0.00136
    460.0   0.02224   0.00134
    470.0   0.02233   0.00127
    480.0   0.02243   0.00129
    490.0   0.02255   0.00123
    500.0   0.02264   0.00137
    510.0   0.02272   0.00132
    520.0   0.02279   0.00132
    530.0   0.02280   0.00131
    540.0   0.02286   0.00129
    550.0   0.02289   0.00134
    560.0   0.02292   0.00131
    570.0   0.02297   0.00129
    580.0   0.02302   0.00130
    590.0   0.02301   0.00130
    600.0   0.02309   0.00135
    610.0   0.02307   0.00135
    620.0   0.02315   0.00136
    630.0   0.02320   0.00142
    640.0   0.02322   0.00146
    650.0   0.02329   0.00143
    660.0   0.02332   0.00140
    670.0   0.02340   0.00142
    680.0   0.02355   0.00140
    690.0   0.02368   0.00142
    700.0   0.02365   0.00141
    710.0   0.02365   0.00147
    720.0   0.02369   0.00153
    730.0   0.02374   0.00157
    740.0   0.02380   0.00165
    750.0   0.02393   0.00174
    760.0   0.02395   0.00181
    770.0   0.02394   0.00191
    780.0   0.02413   0.00205
    790.0   0.02407   0.00222
    800.0   0.02415   0.00236
    810.0   0.02417   0.00248
    820.0   0.02436   0.00267
    830.0   0.02430   0.00282
    840.0   0.02451   0.00287
    850.0   0.02449   0.00294
    860.0   0.02451   0.00294
    870.0   0.02454   0.00299
    880.0   0.02454   0.00334



 CFMP226D            .ASC                        

 MP-TXH-226-D                                                            
 MET 00639 (CM2) 250-500 um / Spectralon at (i,e)=(60,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/23/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.873138e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 60.00   Detect Ang:  0.00  Volt: 0.777
 Date: 23-SEP-16   Time: 13:09:01
