    52
    370.0   0.02862   0.02441
    380.0   0.02943   0.01700
    390.0   0.03084   0.00799
    400.0   0.03154   0.00476
    410.0   0.03252   0.00322
    420.0   0.03348   0.00245
    430.0   0.03452   0.00211
    440.0   0.03554   0.00197
    450.0   0.03628   0.00181
    460.0   0.03692   0.00177
    470.0   0.03763   0.00176
    480.0   0.03871   0.00167
    490.0   0.03931   0.00164
    500.0   0.04015   0.00179
    510.0   0.04086   0.00181
    520.0   0.04138   0.00178
    530.0   0.04172   0.00177
    540.0   0.04204   0.00173
    550.0   0.04225   0.00176
    560.0   0.04232   0.00177
    570.0   0.04243   0.00168
    580.0   0.04237   0.00171
    590.0   0.04216   0.00170
    600.0   0.04200   0.00175
    610.0   0.04179   0.00170
    620.0   0.04142   0.00170
    630.0   0.04128   0.00176
    640.0   0.04091   0.00173
    650.0   0.04071   0.00186
    660.0   0.04035   0.00169
    670.0   0.04019   0.00168
    680.0   0.03999   0.00159
    690.0   0.03979   0.00161
    700.0   0.03969   0.00173
    710.0   0.03948   0.00173
    720.0   0.03963   0.00180
    730.0   0.03952   0.00193
    740.0   0.03958   0.00199
    750.0   0.03960   0.00212
    760.0   0.03978   0.00227
    770.0   0.03990   0.00246
    780.0   0.04032   0.00269
    790.0   0.04058   0.00295
    800.0   0.04066   0.00337
    810.0   0.04068   0.00349
    820.0   0.04100   0.00373
    830.0   0.04097   0.00390
    840.0   0.04107   0.00407
    850.0   0.04103   0.00394
    860.0   0.04115   0.00402
    870.0   0.04084   0.00412
    880.0   0.04064   0.00475



 CGMP198D            .ASC                        

 MP-TXH-198-D                                                            
 ALH 84040 (CM2) 250-500 um / Spectralon at (i,e)=(70,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/16/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.553029e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 70.00   Detect Ang:  0.00  Volt: 0.777
 Date: 16-SEP-16   Time: 11:34:13
