    52
    370.0   0.02522   0.02410
    380.0   0.02462   0.01706
    390.0   0.02511   0.00800
    400.0   0.02543   0.00469
    410.0   0.02517   0.00307
    420.0   0.02540   0.00215
    430.0   0.02541   0.00176
    440.0   0.02555   0.00153
    450.0   0.02561   0.00138
    460.0   0.02577   0.00125
    470.0   0.02586   0.00113
    480.0   0.02595   0.00110
    490.0   0.02607   0.00102
    500.0   0.02633   0.00123
    510.0   0.02640   0.00117
    520.0   0.02654   0.00115
    530.0   0.02668   0.00115
    540.0   0.02667   0.00112
    550.0   0.02678   0.00110
    560.0   0.02685   0.00107
    570.0   0.02692   0.00108
    580.0   0.02709   0.00108
    590.0   0.02715   0.00110
    600.0   0.02715   0.00111
    610.0   0.02729   0.00113
    620.0   0.02736   0.00118
    630.0   0.02731   0.00122
    640.0   0.02751   0.00127
    650.0   0.02760   0.00136
    660.0   0.02764   0.00113
    670.0   0.02778   0.00118
    680.0   0.02781   0.00114
    690.0   0.02789   0.00121
    700.0   0.02798   0.00126
    710.0   0.02797   0.00126
    720.0   0.02818   0.00137
    730.0   0.02808   0.00151
    740.0   0.02829   0.00165
    750.0   0.02842   0.00176
    760.0   0.02855   0.00199
    770.0   0.02843   0.00223
    780.0   0.02852   0.00240
    790.0   0.02888   0.00278
    800.0   0.02902   0.00310
    810.0   0.02909   0.00341
    820.0   0.02906   0.00366
    830.0   0.02942   0.00388
    840.0   0.02947   0.00400
    850.0   0.02947   0.00390
    860.0   0.02961   0.00395
    870.0   0.02953   0.00411
    880.0   0.02978   0.00477



 CGMP226A3           .ASC                        

 MP-TXH-226-A2                                                           
 MET 00639 (CM2) <125 um / Spectralon at (i,e)=(70,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/23/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.350311e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 70.00   Detect Ang:  0.00  Volt: 0.777
 Date: 23-SEP-16   Time: 15:02:29
