    52
    370.0   0.03323   0.00804
    380.0   0.03623   0.00548
    390.0   0.03726   0.00262
    400.0   0.03851   0.00154
    410.0   0.03990   0.00103
    420.0   0.04155   0.00074
    430.0   0.04322   0.00061
    440.0   0.04470   0.00052
    450.0   0.04593   0.00051
    460.0   0.04706   0.00044
    470.0   0.04815   0.00044
    480.0   0.04952   0.00040
    490.0   0.05069   0.00038
    500.0   0.05182   0.00043
    510.0   0.05301   0.00043
    520.0   0.05389   0.00042
    530.0   0.05445   0.00043
    540.0   0.05500   0.00038
    550.0   0.05547   0.00039
    560.0   0.05575   0.00038
    570.0   0.05589   0.00039
    580.0   0.05596   0.00039
    590.0   0.05565   0.00036
    600.0   0.05542   0.00040
    610.0   0.05513   0.00038
    620.0   0.05477   0.00040
    630.0   0.05442   0.00043
    640.0   0.05394   0.00045
    650.0   0.05363   0.00047
    660.0   0.05318   0.00044
    670.0   0.05295   0.00042
    680.0   0.05268   0.00040
    690.0   0.05248   0.00044
    700.0   0.05227   0.00042
    710.0   0.05212   0.00044
    720.0   0.05217   0.00050
    730.0   0.05203   0.00051
    740.0   0.05203   0.00055
    750.0   0.05219   0.00063
    760.0   0.05234   0.00071
    770.0   0.05268   0.00076
    780.0   0.05300   0.00082
    790.0   0.05319   0.00094
    800.0   0.05354   0.00104
    810.0   0.05379   0.00111
    820.0   0.05405   0.00121
    830.0   0.05414   0.00126
    840.0   0.05418   0.00130
    850.0   0.05417   0.00133
    860.0   0.05412   0.00132
    870.0   0.05420   0.00136
    880.0   0.05414   0.00155



 CHMP198A            .ASC                        

 MP-TXH-198-A                                                            
 ALH 84040 (CM2) <125 um / Spectralon at (i,e)=(15,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/16/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.686269e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 15.00   Detect Ang:  0.00  Volt: 0.777
 Date: 16-SEP-16   Time: 14:29:53
