    52
    370.0   0.02591   0.00832
    380.0   0.02645   0.00573
    390.0   0.02695   0.00270
    400.0   0.02718   0.00158
    410.0   0.02743   0.00107
    420.0   0.02757   0.00078
    430.0   0.02781   0.00066
    440.0   0.02794   0.00056
    450.0   0.02798   0.00052
    460.0   0.02814   0.00050
    470.0   0.02822   0.00046
    480.0   0.02841   0.00045
    490.0   0.02848   0.00044
    500.0   0.02858   0.00048
    510.0   0.02876   0.00048
    520.0   0.02881   0.00049
    530.0   0.02887   0.00045
    540.0   0.02888   0.00047
    550.0   0.02892   0.00044
    560.0   0.02900   0.00045
    570.0   0.02904   0.00046
    580.0   0.02905   0.00045
    590.0   0.02910   0.00047
    600.0   0.02912   0.00045
    610.0   0.02909   0.00043
    620.0   0.02910   0.00047
    630.0   0.02914   0.00047
    640.0   0.02913   0.00051
    650.0   0.02916   0.00051
    660.0   0.02919   0.00047
    670.0   0.02918   0.00046
    680.0   0.02925   0.00046
    690.0   0.02927   0.00048
    700.0   0.02933   0.00049
    710.0   0.02931   0.00052
    720.0   0.02937   0.00053
    730.0   0.02934   0.00057
    740.0   0.02934   0.00062
    750.0   0.02935   0.00065
    760.0   0.02936   0.00071
    770.0   0.02939   0.00077
    780.0   0.02939   0.00084
    790.0   0.02943   0.00095
    800.0   0.02932   0.00105
    810.0   0.02952   0.00116
    820.0   0.02952   0.00126
    830.0   0.02960   0.00128
    840.0   0.02948   0.00134
    850.0   0.02952   0.00132
    860.0   0.02957   0.00132
    870.0   0.02949   0.00139
    880.0   0.02955   0.00161



 CHMP226A3           .ASC                        

 MP-TXH-226-A3                                                           
 MET 00639 (CM2) <125 um / Spectralon at (i,e)=(15,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/22/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.654195e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 15.00   Detect Ang:  0.00  Volt: 0.777
 Date: 22-SEP-16   Time: 11:45:05
