    52
    370.0   0.02384   0.00849
    380.0   0.02404   0.00574
    390.0   0.02439   0.00274
    400.0   0.02466   0.00158
    410.0   0.02471   0.00105
    420.0   0.02492   0.00078
    430.0   0.02512   0.00061
    440.0   0.02524   0.00054
    450.0   0.02532   0.00047
    460.0   0.02546   0.00043
    470.0   0.02550   0.00040
    480.0   0.02567   0.00037
    490.0   0.02578   0.00035
    500.0   0.02590   0.00043
    510.0   0.02606   0.00041
    520.0   0.02609   0.00038
    530.0   0.02614   0.00037
    540.0   0.02619   0.00038
    550.0   0.02624   0.00037
    560.0   0.02631   0.00039
    570.0   0.02630   0.00037
    580.0   0.02639   0.00038
    590.0   0.02642   0.00037
    600.0   0.02641   0.00036
    610.0   0.02642   0.00037
    620.0   0.02645   0.00040
    630.0   0.02644   0.00040
    640.0   0.02650   0.00043
    650.0   0.02648   0.00045
    660.0   0.02651   0.00040
    670.0   0.02649   0.00041
    680.0   0.02661   0.00040
    690.0   0.02668   0.00042
    700.0   0.02666   0.00044
    710.0   0.02673   0.00044
    720.0   0.02680   0.00045
    730.0   0.02674   0.00051
    740.0   0.02675   0.00057
    750.0   0.02679   0.00059
    760.0   0.02678   0.00067
    770.0   0.02682   0.00075
    780.0   0.02689   0.00083
    790.0   0.02679   0.00093
    800.0   0.02677   0.00102
    810.0   0.02683   0.00112
    820.0   0.02684   0.00121
    830.0   0.02681   0.00129
    840.0   0.02690   0.00133
    850.0   0.02688   0.00131
    860.0   0.02699   0.00132
    870.0   0.02684   0.00138
    880.0   0.02686   0.00156



 CHMP226C            .ASC                        

 MP-TXH-226-C                                                            
 MET 00639 (CM2) 125-250 um / Spectralon at (i,e)=(15,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/22/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.654195e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 15.00   Detect Ang:  0.00  Volt: 0.777
 Date: 22-SEP-16   Time: 11:45:05
