    52
    370.0   0.02500   0.00848
    380.0   0.02557   0.00584
    390.0   0.02564   0.00275
    400.0   0.02597   0.00161
    410.0   0.02597   0.00111
    420.0   0.02611   0.00082
    430.0   0.02626   0.00069
    440.0   0.02638   0.00062
    450.0   0.02653   0.00059
    460.0   0.02660   0.00056
    470.0   0.02664   0.00054
    480.0   0.02677   0.00053
    490.0   0.02692   0.00049
    500.0   0.02698   0.00054
    510.0   0.02709   0.00052
    520.0   0.02720   0.00052
    530.0   0.02719   0.00051
    540.0   0.02720   0.00051
    550.0   0.02727   0.00049
    560.0   0.02728   0.00047
    570.0   0.02730   0.00047
    580.0   0.02730   0.00048
    590.0   0.02731   0.00047
    600.0   0.02737   0.00050
    610.0   0.02734   0.00047
    620.0   0.02737   0.00051
    630.0   0.02735   0.00052
    640.0   0.02731   0.00052
    650.0   0.02733   0.00055
    660.0   0.02738   0.00051
    670.0   0.02741   0.00054
    680.0   0.02746   0.00050
    690.0   0.02747   0.00050
    700.0   0.02756   0.00051
    710.0   0.02751   0.00054
    720.0   0.02754   0.00056
    730.0   0.02752   0.00058
    740.0   0.02751   0.00064
    750.0   0.02755   0.00065
    760.0   0.02751   0.00071
    770.0   0.02755   0.00079
    780.0   0.02757   0.00091
    790.0   0.02756   0.00099
    800.0   0.02762   0.00107
    810.0   0.02761   0.00115
    820.0   0.02770   0.00124
    830.0   0.02753   0.00136
    840.0   0.02760   0.00136
    850.0   0.02743   0.00135
    860.0   0.02752   0.00137
    870.0   0.02760   0.00139
    880.0   0.02751   0.00163



 CHMP226D            .ASC                        

 MP-TXH-226-D                                                            
 MET 00639 (CM2) 250-500 um / Spectralon at (i,e)=(15,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/22/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.654195e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 15.00   Detect Ang:  0.00  Volt: 0.777
 Date: 22-SEP-16   Time: 11:45:05
